Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
VNQI,ETF,0.32%,$0.09,4.74%,"$1,246.30 ",23.3," 207,656 ", (1.33),,,,,,,,,,,,,
DBA,Commodity Pool,1.01%,,,"$1,245.80 ",50.6," 543,877 ", (0.51),,,,,,,,,,,,,
FAS,ETF,0.95%,$0.29,0.97%,"$1,227.10 ",13.7," 4,531,625 ", 3.52 ,,,,,,,,,,,,,
MGK,ETF,0.12%,$0.24,1.41%,"$1,203.10 ",16.7," 73,581 ", 1.00 ,,,,,,,,,,,,,
XRT,ETF,0.35%,$0.15,1.26%,"$1,191.20 ",13.6," 3,152,269 ", 1.14 ,,,,,,,,,,,,,
GSG,Commodity Pool,0.75%,,,"$1,185.50 ",36.4," 269,348 ", 0.96 ,,,,,,,,,,,,,
ELD,ETF,0.55%,$0.17,4.45%,"$1,185.30 ",25.8," 293,987 ", (0.67),,,,,,,,,,,,,
PDP,ETF,0.60%,$0.03,0.77%,"$1,180.00 ",32.4," 198,045 ", 1.31 ,,,,,,,,,,,,,
RSX,ETF,0.62%,$0.74,2.62%,"$1,174.10 ",41.4," 3,619,447 ", 1.73 ,,,,,,,,,,,,,
DTN,ETF,0.38%,$0.17,2.79%,"$1,145.10 ",16.7," 63,567 ", 0.89 ,,,,,,,,,,,,,
GDXJ,ETF,0.54%,$0.75,2.46%,"$1,120.20 ",36.8," 1,175,848 ", (4.24),,,,,,,,,,,,,
ACWV,ETF,0.35%,$0.85,2.49%,"$1,115.10 ",17.7," 51,375 ", (0.85),,,,,,,,,,,,,
SCHG,ETF,0.07%,$0.12,1.08%,"$1,102.70 ",24.5," 131,386 ", 0.99 ,,,,,,,,,,,,,
BIL,ETF,0.13%,$0.00,0.34%,"$1,089.30 ",23.8," 866,997 ", 0.03 ,,,,,,,,,,,,,
PID,ETF,0.50%,$0.08,2.57%,"$1,079.80 ",59.1," 171,056 ", 0.96 ,,,,,,,,,,,,,
VTIP,ETF,0.10%,$0.05,0.11%,"$1,079.70 ",21.9," 123,019 ", (0.16),,,,,,,,,,,,,
MCHI,ETF,0.61%,$0.22,2.41%,"$1,079.60 ",22.7," 599,242 ", 2.29 ,,,,,,,,,,,,,
FEEU,ETN,0.29%,,,"$1,054.60 ",8.7," 5,975 ", 2.26 ,,,,,,,,,,,,,
SGOL,Grantor Trust,0.39%,,,"$1,050.90 ",8.8," 51,281 ", (1.84),,,,,,,,,,,,,
DES,ETF,0.38%,$0.14,2.44%,"$1,044.00 ",15.4," 64,944 ", 1.31 ,,,,,,,,,,,,,
EPI,ETF,0.83%,$0.06,0.90%,"$1,020.10 ",59," 4,190,530 ", 2.72 ,,,,,,,,,,,,,
XBI,ETF,0.35%,$0.04,0.32%,"$1,013.80 ",7.8," 334,370 ", 2.53 ,,,,,,,,,,,,,
IGV,ETF,0.48%,$0.06,0.33%,"$1,010.40 ",12.4," 79,350 ", 1.38 ,,,,,,,,,,,,,
XOP,ETF,0.35%,$0.08,1.30%,$991.60 ,14.4," 5,676,266 ", (2.08),,,,,,,,,,,,,
PHO,ETF,0.60%,$0.02,0.65%,$990.90 ,38," 97,508 ", 1.32 ,,,,,,,,,,,,,
RWO,ETF,0.50%,$0.40,5.52%,$979.10 ,23.8," 185,180 ", (1.14),,,,,,,,,,,,,
VXX,ETN,0.89%,,,$973.10 ,22.9," 18,628,400 ", (3.65),,,,,,,,,,,,,
FBT,ETF,0.60%,$0.27,,$959.40 ,13.8," 106,241 ", 2.10 ,,,,,,,,,,,,,
ILF,ETF,0.50%,$0.60,3.73%,$958.10 ,26," 461,752 ", (1.90),,,,,,,,,,,,,
WIP,ETF,0.50%,$0.23,2.90%,$948.90 ,16.2," 144,234 ", (0.56),,,,,,,,,,,,,
REM,ETF,0.48%,$0.48,16.21%,$946.00 ,82.6," 1,308,603 ", (1.57),,,,,,,,,,,,,
VAW,ETF,0.14%,$1.90,3.37%,$941.10 ,9.2," 44,000 ", 1.21 ,,,,,,,,,,,,,
EFAV,ETF,0.20%,$0.77,2.56%,$933.30 ,15.3," 90,444 ", 0.82 ,,,,,,,,,,,,,
PJP,ETF,0.60%,$0.07,1.14%,$930.10 ,17.5," 172,908 ", 1.61 ,,,,,,,,,,,,,
RPG,ETF,0.35%,$0.09,0.77%,$929.40 ,13.3," 104,592 ", 1.20 ,,,,,,,,,,,,,
EMLC,ETF,0.47%,$0.11,5.09%,$919.60 ,39," 456,136 ", (0.88),,,,,,,,,,,,,
DON,ETF,0.38%,$0.16,2.34%,$910.80 ,12.3," 50,661 ", 1.04 ,,,,,,,,,,,,,
TFI,ETF,0.20%,$0.05,2.73%,$906.70 ,40.1," 322,009 ", (0.34),,,,,,,,,,,,,
PRFZ,ETF,0.39%,$0.32,0.94%,$891.10 ,9.2," 46,748 ", 1.40 ,,,,,,,,,,,,,
SCHE,ETF,0.15%,$0.63,2.61%,$889.30 ,36.9," 311,942 ", (1.75),,,,,,,,,,,,,
GXC,ETF,0.59%,$0.49,2.74%,$884.90 ,11.5," 146,267 ", 2.18 ,,,,,,,,,,,,,
UYG,ETF,0.95%,$0.09,0.36%,$855.70 ,7.3," 105,114 ", 2.40 ,,,,,,,,,,,,,
TNA,ETF,0.95%,$0.11,0.12%,$854.60 ,11.1," 8,955,166 ", 4.24 ,,,,,,,,,,,,,
SCHM,ETF,0.07%,$0.12,1.28%,$852.80 ,22.9," 175,130 ", 1.12 ,,,,,,,,,,,,,
CFT,ETF,0.20%,$0.32,3.53%,$843.90 ,7.9," 56,956 ", (0.41),,,,,,,,,,,,,
GWX,ETF,0.59%,$0.83,4.61%,$824.80 ,25," 67,514 ", 1.02 ,,,,,,,,,,,,,
SCHV,ETF,0.07%,$0.27,2.18%,$817.10 ,20.2," 113,031 ", 1.00 ,,,,,,,,,,,,,
GWL,ETF,0.34%,$0.27,3.30%,$817.00 ,28.2," 127,769 ", 1.01 ,,,,,,,,,,,,,
